
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Williams: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
Bush: {'kernel': 'temp', 'C': 0, 'n_components': 0, 'degree': 0, 'f1': 0, 'white': False, 'gamma': 0, 'svd_solver': 'temp'}
